РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Социально-гуманитарная литература	соц. политика	1186		ВНЕШНЯЯ ПОЛИТИКА И БЕЗОПАСНОСТЬ СОВРЕМЕННОЙ РОССИИ (1991-2002). ХРЕСТ. В 4 Т., Т. 4. Документы	ВНЕШНЯЯ ПОЛИТИКА И БЕЗОПАСНОСТЬ СОВРЕМЕННОЙ РОССИИ 1991-2002 ХРЕСТОМАТИЯ В ЧЕТЫРЕХ ТОМАХ ТОМ ЧЕТВЕРТЫЙ ДОКУМЕНТЫ МОСКВА 2002	внешняя политика и безопасность современной россии (1991-2002). хрест. в 4 т		hum\внешняя политика и безопасность современной россии (1991-2002). хрест. в 4 т	Т., 4. документы#00J8.zip
Социально-гуманитарная литература	соц. политика	1187		ГЛОБАЛИЗАЦИЯ И МОДЕЛИРОВАНИЕ СОЦИАЛЬНОЙ ДИНАМИКИ	E:\bon\mylib\files1\1ГЛОБАЛИЗАЦИЯ И МОДЕЛИРОВАНИЕ СОЦИАЛЬНОЙ ДИНАМИКИ.lnk			hum	глобализация и моделирование социальной динамики#00J9.zip
Социально-гуманитарная литература	соц. политика	1188		ЗАДАЧИ В ОТНОШЕНИИ РОССИИ	Директива Совета Национальной Безопасности США 20/1 от 18 августа 1948 годаиз сборникаThomas H. Etzold and John Lewis Gaddis, eds.,Containment: Documents on American Policy and Strategy,1945-1950NSC 2			hum	задачи в отношении россии#00JA.zip
Социально-гуманитарная литература	соц. политика	1189		Общая и прикладная политология: Учебное пособие.	"Общая и прикладная политология: Учебное пособие. / Под общей редакцией В.И. Жукова, Б.И. Краснова. - М.: МГСУ; Изд-во ""Союз"", 1997. - 992 с."			hum	общая и прикладная политология#00JB.zip
Социально-гуманитарная литература	соц. политика	1190		Оперативные сводки войны в Ираке				hum	оперативные сводки войны в ираке#00JC.zip
Социально-гуманитарная литература	соц. политика	1191		Переписка Председателя Совета Министров СССР с Президентами США и Премьер-Министрами Великобритании				hum	переписка председателя совета министров ссср с главами сша и великобритании#00JD.zip
Социально-гуманитарная литература	соц. политика	1192		Политология	Учебник / под ред. профессора М.А. Василика			hum	политология#00JE.zip
Социально-гуманитарная литература	соц. политика	1193		Политология				hum	политология#00JF.zip
Социально-гуманитарная литература	соц. политика	1194		Реформаторские идеи в социальном развитии России				hum	реформаторские идеи в социальном развитии россии#00JG.zip
Социально-гуманитарная литература	соц. политика	1195		РУССКАЯ ДОКТРИНА				hum	русская доктрина#00JH.zip
